Metadata
Stock Ticker,AAPL
Request Timestamp,2025-04-05 00:34:15
Prediction Model Used,linear
Start Time,2025-03-27
End Time,2025-03-31
Period,1mo
Interval,1d

Date,Open,High,Low,Close,Volume
2025-03-27 00:00:00-04:00,221.38999938964844,224.99000549316406,220.55999755859375,223.85000610351562,37094800
2025-03-28 00:00:00-04:00,221.6699981689453,223.80999755859375,217.67999267578125,217.89999389648438,39818600
2025-03-31 00:00:00-04:00,217.00999450683594,225.6199951171875,216.22999572753906,222.1300048828125,65299300

Prediction Results
Predicted Closing Price,219.57333374023438
MAE,2.2622273763020835,MSE,5.757381789851934
