Metadata
Stock Ticker,AAPL
Request Timestamp,2025-04-05 00:33:24
Prediction Model Used,linear
Start Time,2025-03-24
End Time,2025-03-27
Period,1mo
Interval,1d

Date,Open,High,Low,Close,Volume
2025-03-24 00:00:00-04:00,221.0,221.47999572753906,218.5800018310547,220.72999572753906,44299500
2025-03-25 00:00:00-04:00,220.77000427246094,224.10000610351562,220.0800018310547,223.75,34493600
2025-03-26 00:00:00-04:00,223.50999450683594,225.02000427246094,220.47000122070312,221.52999877929688,34466100
2025-03-27 00:00:00-04:00,221.38999938964844,224.99000549316406,220.55999755859375,223.85000610351562,37094800

Prediction Results
Predicted Closing Price,224.25000762939453
MAE,0.978001403808598,MSE,1.226233165286253
