Metadata
Stock Ticker,MSFT
Request Timestamp,2025-04-05 00:33:25
Prediction Model Used,linear
Start Time,2025-03-24
End Time,2025-03-27
Period,1mo
Interval,1d

Date,Open,High,Low,Close,Volume
2025-03-24 00:00:00-04:00,395.3999938964844,395.3999938964844,389.80999755859375,393.0799865722656,21004500
2025-03-25 00:00:00-04:00,393.9200134277344,396.3599853515625,392.6400146484375,395.1600036621094,15775000
2025-03-26 00:00:00-04:00,395.0,395.30999755859375,388.57000732421875,389.9700012207031,16108400
2025-03-27 00:00:00-04:00,390.1300048828125,392.239990234375,387.3999938964844,390.5799865722656,13766800

Prediction Results
Predicted Closing Price,389.0249938964844
MAE,1.3070007324218835,MSE,2.2703757251612924
