Metadata
Stock Ticker,GOOG
Request Timestamp,2025-03-30 19:44:49
Prediction Model Used,arima
Start Time,2025-03-01
End Time,2025-03-29
Period,1mo
Interval,1d

Date,Open,High,Low,Close,Volume
2025-03-03 00:00:00,173.5323013294071,174.80086041257175,167.4492350449917,168.46807861328125,24122000
2025-03-04 00:00:00,167.74889040520628,174.9656593689528,167.34933645157065,172.41357421875,30711400
2025-03-05 00:00:00,172.12391841048589,175.55000797862252,170.73548550793336,174.79087829589844,18848000
2025-03-06 00:00:00,172.35364986457097,176.52888591983762,172.31169022063378,174.0117645263672,19082400
2025-03-07 00:00:00,173.0448614517929,176.69868829805844,172.05398592128185,175.5500030517578,16395300
2025-03-10 00:00:00,170.16000366210938,170.4499969482422,165.56500244140625,167.80999755859375,28990700
2025-03-11 00:00:00,166.67999267578125,168.65499877929688,163.24000549316406,165.97999572753906,23705900
2025-03-12 00:00:00,168.47000122070312,169.52999877929688,165.47999572753906,169.0,19880100
2025-03-13 00:00:00,167.97999572753906,168.1199951171875,164.07000732421875,164.72999572753906,15206200
2025-03-14 00:00:00,165.31500244140625,168.25,164.50999450683594,167.6199951171875,18611100
2025-03-17 00:00:00,167.3249969482422,168.4600067138672,165.80999755859375,166.57000732421875,17839100
2025-03-18 00:00:00,165.9600067138672,166.44000244140625,158.8000030517578,162.6699981689453,24616800
2025-03-19 00:00:00,163.9149932861328,168.13299560546875,163.0500030517578,166.27999877929688,24955700
2025-03-20 00:00:00,163.8249969482422,167.02999877929688,163.13999938964844,165.0500030517578,19981500
2025-03-21 00:00:00,163.3800048828125,166.47000122070312,163.02999877929688,166.25,29882100
2025-03-24 00:00:00,169.26499938964844,170.5,167.44000244140625,169.92999267578125,18742800
2025-03-25 00:00:00,171.17999267578125,172.91000366210938,170.5500030517578,172.7899932861328,13841600
2025-03-26 00:00:00,171.3000030517578,171.94000244140625,166.86099243164062,167.13999938964844,22554200
2025-03-27 00:00:00,166.7100067138672,167.44000244140625,163.85000610351562,164.0800018310547,21571200
2025-03-28 00:00:00,162.36000061035156,163.80999755859375,155.33900451660156,156.05999755859375,34823000

Prediction Results
Predicted Closing Price,154.16091028225193
MAE,10.89093355235065,MSE,1428.4984619688196
